Scenario,Label,Precision,Precision_lo,Precision_hi,Recall,Recall_lo,Recall_hi,F1,F1_lo,F1_hi,Support
DistilBERT MFRC→MFRC,care,0.5748,0.5393,0.6077,0.5368,0.4985,0.5758,0.5551,0.5235,0.5863,680
DistilBERT MFRC→MFRC,fairness,0.5414,0.5095,0.5755,0.4638,0.4298,0.4993,0.4996,0.4681,0.5302,705
DistilBERT MFRC→MFRC,loyalty,0.5027,0.4407,0.5673,0.3444,0.2889,0.4037,0.4088,0.3542,0.464,270
DistilBERT MFRC→MFRC,authority,0.422,0.3766,0.4643,0.3443,0.2993,0.3882,0.3792,0.3357,0.4179,456
DistilBERT MFRC→MFRC,non-moral,0.8264,0.8163,0.8367,0.8053,0.7904,0.8184,0.8157,0.8053,0.8246,3133
DistilBERT MFTC→MFTC,care,0.627,0.5978,0.6597,0.5472,0.5165,0.5784,0.5844,0.5602,0.6113,848
DistilBERT MFTC→MFTC,fairness,0.6584,0.6336,0.6892,0.6282,0.5947,0.6577,0.643,0.6192,0.6683,850
DistilBERT MFTC→MFTC,loyalty,0.5952,0.5612,0.6253,0.5386,0.5036,0.5723,0.5655,0.5351,0.5916,830
DistilBERT MFTC→MFTC,authority,0.5395,0.4863,0.5825,0.3842,0.3447,0.4197,0.4488,0.4061,0.4844,622
DistilBERT MFTC→MFTC,non-moral,0.8819,0.8758,0.8895,0.8773,0.8692,0.8856,0.8796,0.8736,0.8857,5518
BERT MFRC→MFRC,care,0.5664,0.5375,0.5943,0.5647,0.5294,0.5978,0.5655,0.5361,0.591,680
BERT MFRC→MFRC,fairness,0.5318,0.5016,0.5657,0.4865,0.444,0.5234,0.5081,0.4758,0.5407,705
BERT MFRC→MFRC,loyalty,0.4581,0.3887,0.5158,0.3444,0.2889,0.4019,0.3932,0.3349,0.4469,270
BERT MFRC→MFRC,authority,0.3953,0.3554,0.434,0.3728,0.3299,0.4232,0.3837,0.3434,0.4239,456
BERT MFRC→MFRC,non-moral,0.8302,0.821,0.8398,0.8021,0.788,0.8155,0.8159,0.8062,0.8246,3133
BERT MFTC→MFTC,care,0.6225,0.5959,0.6578,0.5483,0.5182,0.5832,0.5831,0.5558,0.6124,848
BERT MFTC→MFTC,fairness,0.6416,0.6175,0.6722,0.6318,0.5988,0.6618,0.6366,0.6129,0.6627,850
BERT MFTC→MFTC,loyalty,0.5673,0.5359,0.6013,0.5434,0.5096,0.5747,0.5551,0.5252,0.5835,830
BERT MFTC→MFTC,authority,0.5228,0.4807,0.568,0.3875,0.3512,0.4221,0.4451,0.4066,0.482,622
BERT MFTC→MFTC,non-moral,0.8775,0.8712,0.8841,0.8775,0.8692,0.885,0.8775,0.8723,0.883,5518
DistilBERT MFRC→MFTC,care,0.4548,0.4449,0.4642,0.3852,0.3755,0.3956,0.4171,0.4075,0.4265,8416
DistilBERT MFRC→MFTC,fairness,0.4435,0.4327,0.4549,0.2781,0.2687,0.2876,0.3418,0.3321,0.3518,8645
DistilBERT MFRC→MFTC,loyalty,0.6249,0.6098,0.638,0.2976,0.2883,0.3065,0.4032,0.3929,0.4128,8254
DistilBERT MFRC→MFTC,authority,0.4593,0.4426,0.4758,0.2183,0.2084,0.2286,0.2959,0.2839,0.3081,6409
DistilBERT MFRC→MFTC,non-moral,0.7683,0.7662,0.7704,0.8482,0.8454,0.8514,0.8063,0.8046,0.8084,54865
DistilBERT MFTC→MFRC,care,0.7933,0.7521,0.835,0.0414,0.0372,0.0459,0.0787,0.071,0.087,6858
DistilBERT MFTC→MFRC,fairness,0.5541,0.515,0.5886,0.0549,0.0493,0.06,0.0999,0.0902,0.1088,7743
DistilBERT MFTC→MFRC,loyalty,0.5,0.4189,0.5819,0.0332,0.0263,0.0402,0.0623,0.0497,0.0752,2587
DistilBERT MFTC→MFRC,authority,0.4333,0.3681,0.5,0.017,0.0136,0.0208,0.0327,0.0263,0.0398,4584
DistilBERT MFTC→MFRC,non-moral,0.6582,0.6573,0.6593,0.9851,0.9839,0.9864,0.7892,0.7883,0.7902,30774
BERT MFRC→MFTC,care,0.4601,0.4523,0.4694,0.4524,0.4429,0.4616,0.4562,0.448,0.4652,8416
BERT MFRC→MFTC,fairness,0.4375,0.4264,0.4489,0.3087,0.2989,0.3183,0.362,0.3521,0.3716,8645
BERT MFRC→MFTC,loyalty,0.6011,0.5875,0.6161,0.2808,0.2706,0.2908,0.3828,0.372,0.394,8254
BERT MFRC→MFTC,authority,0.4407,0.4252,0.4558,0.237,0.2259,0.2461,0.3082,0.2957,0.3188,6409
BERT MFRC→MFTC,non-moral,0.7736,0.7716,0.7757,0.8423,0.8393,0.8458,0.8065,0.8047,0.8086,54865
BERT MFTC→MFRC,care,0.7737,0.7385,0.81,0.0464,0.0415,0.0508,0.0875,0.0787,0.0955,6858
BERT MFTC→MFRC,fairness,0.5458,0.5116,0.5758,0.0661,0.0602,0.0723,0.118,0.1077,0.1282,7743
BERT MFTC→MFRC,loyalty,0.4567,0.3873,0.5285,0.0367,0.0298,0.0448,0.068,0.0555,0.0827,2587
BERT MFTC→MFRC,authority,0.4667,0.3945,0.5368,0.0183,0.0144,0.0221,0.0353,0.0278,0.0425,4584
BERT MFTC→MFRC,non-moral,0.6594,0.6584,0.6605,0.982,0.9806,0.9836,0.789,0.788,0.7901,30774
